no	brand	chinese_name	english_name	item	effect	image
8	ORIGINS_品木宣言	奇蹟面膜		清潔面膜,	深層清潔,修護,抗痘,舒緩,	https://pic.pimg.tw/styleme/1443058463-2786945417.jpg
11	kiehl's_契爾氏	亞馬遜白泥淨緻毛孔面膜	Rare Earth Deep Pore Cleansing Masque	清潔面膜,	深層清潔,收斂毛孔,控油,	https://pic.pimg.tw/styleme/1471838238-1550092175.jpg
14	shu_uemura_植村秀	植物精萃潔顏油 綠茶版	Anti/Oxi Skin Refining Anti-Dullness Cleansing Oil	卸妝產品,	卸妝,清潔,	https://pic.pimg.tw/styleme/1471851039-2053005800.png
17	SHISEIDO_資生堂		Benefique Hot Cleansing	卸妝產品,	卸妝,清潔,	https://pic.pimg.tw/styleme/1443057443-2515689085.jpg
20	KOSE_高絲	雪肌精淨白黑面膜	Clear Whitening Mask	清潔面膜,	深層清潔,改善粉刺,美白,	https://pic.pimg.tw/styleme/1443058450-3672473835.jpg
29	ORIGINS_品木宣言	一舉兩得潔面慕絲		洗顏產品,	清潔,	https://pic.pimg.tw/styleme/1443057397-3310399465.jpg
32	SK-II	青春敷面膜	Facial Treatment Mask	保養面膜,	保濕,抗老,透亮,	https://pic.pimg.tw/styleme/1471838298-2491264701.jpg
35	SHISEIDO_資生堂	百優瞬效新生彈力眼霜	Bio-Performance Super Corrective Eye Cream	眼部保養,	保濕,抗老,緊實,改善細紋,	https://pic.pimg.tw/styleme/1443058385-4182258750.jpg
38		超進化肌因亮眼精粹	Advanced Genifique Eye Light Pearl	眼部保養,	保濕,緊實,修護,	https://pic.pimg.tw/styleme/1471838060-3057373901.jpg
41	IPSA_茵芙莎	泥狀角質按摩霜EX	Luminizing Clay	臉部去角質,	去角質,深層清潔,收斂毛孔,	https://pic.pimg.tw/styleme/1471836457-1931389110.jpg
46	LANEIGE_蘭芝	睡美人香氛水凝膜-淨亮保濕升級版	Water Sleeping Mask	保養面膜,	保濕,舒緩,	https://pic.pimg.tw/styleme/1471838348-2995747101.jpg
49		特潤超導眼部修護精萃	Advanced Night Repair Eye Serum	眼部保養,	保濕,抗老,修護,	https://pic.pimg.tw/styleme/1471837969-2049535762.jpg
52	kiehl's_契爾氏	酪梨眼霜	Creamy Eye Treatment with Avocado	眼部保養,	保濕,滋潤,	https://pic.pimg.tw/styleme/1443058375-3554959276.jpg
55	sisley_希思黎	抗皺活膚眼唇霜	Eye & Lip Contour Cream	眼部保養,	保濕,滋潤,抗老,抗皺,修護,	https://pic.pimg.tw/styleme/1471838129-3545220448.jpg
58		Nrf2超智慧乳霜	Revitalizing Supreme Global Anti-Aging Creme	乳霜,	保濕,抗老,緊實,改善細紋,透亮,	https://pic.pimg.tw/styleme/1471859138-2982583632.jpg
61	SHISEIDO_資生堂	百優精純乳霜	Bio-Performance Advanced Super Revitalizer Cream	乳霜,	保濕,滋潤,抗老,	https://pic.pimg.tw/styleme/1471837782-350285976.jpg
64	SK-II	肌源新生賦活精萃	Stempower Essence	精華液,	保濕,抗老,緊實,	https://pic.pimg.tw/styleme/1443058243-3238764805.jpg
67	Clarins_克蘭詩	黃金雙激萃	Double Serum	精華液,	保濕,滋潤,抗老,修護,	https://pic.pimg.tw/styleme/1471859017-2554419716.jpg
70	GUERLAIN_嬌蘭	皇家蜂王乳提顏凝露	Abeille Rayole Preparing Toner	化妝水,	保濕,抗老,緊實,拉提,	https://pic.pimg.tw/styleme/1471837872-2029327439.jpg
73		激光煥白淨斑精華	Blanc Expert Spot Eraser Melanolyser	精華液,	美白,透亮,均勻膚色,淡斑,提升光澤,	https://pic.pimg.tw/styleme/1471837699-3051744596.jpg
76		極淨光透白修護精華	Crescent White Full Cycle Brightening Spot Correcting Essince	精華液,	美白,透亮,均勻膚色,提升光澤,	https://pic.pimg.tw/styleme/1443058149-744162273.jpg
79	kiehl's_契爾氏	激光極淨白淡斑精華	Clearly Corrective Dark Spot Solution	精華液,	保濕,美白,透亮,均勻膚色,淡斑,提升光澤,	https://pic.pimg.tw/styleme/1443058176-1212871370.jpg
82	SHISEIDO_資生堂	驅黑淨白露CR	Melanoreduce CR Whitening Serum	精華液,	保濕,美白,透亮,均勻膚色,淡斑,提升光澤,	https://pic.pimg.tw/styleme/1471837545-2698602807.jpg
85	SK-II	超進化光感煥白精華液	Cellumination Aura Essence	精華液,	美白,透亮,均勻膚色,淡斑,提升光澤,	https://pic.pimg.tw/styleme/1471837614-1671046962.jpg
88	YSL_聖羅蘭	超模聚焦光感粉底液 無瑕版 SPF30/PA+++	Touche Ecla Le Teint	粉底液,	光澤,均勻膚色,防曬,遮瑕,好推勻,	https://pic.pimg.tw/styleme/1471834629-1676414726.jpg
91		粉持久完美持妝粉底SPF10/PA++	Double Wear Stay in Place Makeup	粉底液,	均勻膚色,長效持妝,防曬,遮瑕,	https://pic.pimg.tw/styleme/1471835040-560829616.jpg
94		激光煥白氣墊粉餅 SPF23/PA++	Blanc Expert Cushion Compact	氣墊粉餅,	光澤,透亮,均勻膚色,防曬,薄透,好推勻,	https://pic.pimg.tw/styleme/1471833710-3649070710.png
97	BOBBI_BROWN_芭比布朗	高保濕修護精華粉底 SPF40/PA+++	Intensive Skin Serum Foundation SPF40 PA +++	粉底液,	保濕,光澤,防曬,遮瑕,好推勻,	https://pic.pimg.tw/styleme/1443058617-3826877401.jpg
100	Sulwhasoo_雪花秀	完美絲絨氣墊粉霜	Perfecting Cushion	氣墊粉餅,	保濕,光澤,均勻膚色,	https://pic.pimg.tw/styleme/1471834799-4054318329.jpg
103	cle_de_peau_beaute_肌膚之鑰	星鑽漾采眼影	Eye Color Quad	眼影,	珠光,顯色,	https://pic.pimg.tw/styleme/1471833970-3752241194.jpg
109	M.A.C	絲絨珠光眼影盤	Veluxe Pearlfusion Shadow	眼影,	珠光,顯色,	https://pic.pimg.tw/styleme/1443058948-3555607084.jpg
112	Clarisonic_科萊麗	音波淨膚儀ARIA	ARIA Facial Cleansing Brush	保養工具,		https://pic.pimg.tw/styleme/1471836543-1297898600.jpg
115	kanebo_佳麗寶	晶巧光燦眼盒	Lunasol Skin Modeling Eyes	眼影,	珠光,顯色,好上色,	https://pic.pimg.tw/styleme/1471835500-1030980106.jpg
118	YSL_聖羅蘭	拼接時尚五色眼彩盤	Couture Palette	眼影,	珠光,顯色,好上色,	https://pic.pimg.tw/styleme/1483539921-2460409842.png
121	Dior_迪奧	經典五色眼影	5 Couleurs Coutre Couture Colours & Effects Eyeshdow Palete	眼影,	珠光,顯色,好上色,	https://pic.pimg.tw/styleme/1486127480-3782390995.jpg
124	SHISEIDO_資生堂	心機星魅舞色頰彩	Maquillage Dramatic Mood Veil	腮紅修容,	服貼,珠光,好上色,	https://pic.pimg.tw/styleme/1471834229-1370527841.jpg
127	GIORGIO_ARMANI_亞曼尼	奢華漂染腮紅盒	Cheek Fabric	腮紅修容,	服貼,顯色,好上色,	https://pic.pimg.tw/styleme/1471835966-2529709739.jpg
130	NARS	炫色腮紅	Orgasm Blush	腮紅修容,	服貼,顯色,好上色,	https://pic.pimg.tw/styleme/1487144017-3235540865.png
136	JILL_STUART_吉麗絲朵	甜心愛戀顏彩盤N	Mix Blush Compact N	腮紅修容,	服貼,珠光,顯色,好上色,	https://pic.pimg.tw/styleme/1443059099-3492386628.jpg
142	DECORTE_黛珂	保濕美容液	Moisture Liposome	精華液,	保濕,	https://pic.pimg.tw/styleme/1471836618-1895374361.jpg
145	BIOTHERM_碧兒泉	奇蹟活源精露	Life Plankton Essence	精華液,	保濕,修護,	https://pic.pimg.tw/styleme/1471836809-2423849843.jpg
148	CLINIQUE_倩碧	超水感新一代水磁場保濕凝膠	Moisture Surge	凝膠凝凍,	保濕,	https://pic.pimg.tw/styleme/1471839022-628164495.jpg
151	kiehl's_契爾氏	冰河醣蛋白保濕霜	Ultra Facial Cream	乳霜,	保濕,滋潤,	https://pic.pimg.tw/styleme/1471836757-4147092949.jpg
154	SK-II	青春奇蹟噴霧精華	Mid-Day(Night) Miracle Essence	保濕噴霧,	保濕,	https://pic.pimg.tw/styleme/1443057672-3471428904.jpg
157	KOSE_高絲	藥用雪肌精	Medicated Sekkisei	化妝水,	保濕,美白,	https://pic.pimg.tw/styleme/1471836925-1104996853.jpg
160	kiehl's_契爾氏	金盞花植物精華化妝水	Calendula Herbal Extract Alcohol-Free Toner	化妝水,	修護,控油,抗痘,舒緩,	https://pic.pimg.tw/styleme/1443057715-3630317214.jpg
163	ALBION_艾倫比亞	健康化妝水N	Skin Conditioner Essential	化妝水,	保濕,控油,透亮,舒緩,	https://pic.pimg.tw/styleme/1471836861-2244523913.jpg
166		菁萃亮妍能量精露（水潤型）	Energie De Vie GEL EAU MATIF F/P200ML NU	化妝水,	保濕,透亮,抗氧化,	https://pic.pimg.tw/styleme/1471837212-1673901287.jpg
169		微分子肌底原生露	Micro Essence	化妝水,	保濕,修護,透亮,	https://pic.pimg.tw/styleme/1443057789-802915733.jpg
172		超進化肌因賦活露	Advanced Genifique Serum	精華液,	保濕,抗老,透亮,抗氧化,	https://pic.pimg.tw/styleme/1444010425-3335994369.jpg
175	Dior_迪奧	極效賦活精萃	One Essential Intensive Skin Detoxifying Booster Serum	精華液,	保濕,抗老,修護,	https://pic.pimg.tw/styleme/1471837469-3167563898.jpg
178		特潤超導修護露	Advanced Night Repair Synchronized Recovery Complex II	精華液,	保濕,抗老,修護,透亮,	https://pic.pimg.tw/styleme/1471837374-3775078469.jpg
181	SK-II	青春露	Facial Treatment Essence	精華液,	保濕,抗老,透亮,抗氧化,	https://pic.pimg.tw/styleme/1471837301-3373399783.jpg
184	Clarins_克蘭詩	V型緊緻精華	Shaping Facial Lift Total V Contouring Serum 	精華液,	緊實,改善水腫,	https://pic.pimg.tw/styleme/1443057858-604042985.jpg
190	ettusais_艾杜紗	高機能礦物BB霜 SPF30/PA++	BB Mineral Cream	BB霜,	保濕,潤色,遮瑕,	https://pic.pimg.tw/styleme/1443058494-1199286721.jpg
193	shu_uemura_植村秀	UV泡沫CC慕斯 SPF35/PA+++	UVUB Poreraser CC Ivory	CC霜,	清爽,潤色,	https://pic.pimg.tw/styleme/1443058528-1852414202.jpg
196	LANEIGE_蘭芝	BB舒芙蕾水凝霜SPF50+/PA+++．鑽采升級版	BB Cushion SPF50+/PA+++	BB霜,氣墊粉餅,	潤色,均勻膚色,防曬,	https://pic.pimg.tw/styleme/1471834507-2292051463.jpg
199	GIORGIO_ARMANI_亞曼尼	雪紡瞬白CC霜 SPF35	Luminessence CC Cream SPF35	CC霜,	潤色,防曬,	https://pic.pimg.tw/styleme/1471834390-533121001.jpg
202	SK-II	光感煥白CC霜SPF 50+ PA++++	Auractivator CC Cream	CC霜,	潤色,美白,修正膚色,修飾毛孔,光澤,透亮,均勻膚色,服貼,防曬,	https://pic.pimg.tw/styleme/1489243535-1652716871.jpg
205	Dior_迪奧	癮誘超模電眼睫毛膏	Dior Addict It-Lash	睫毛膏,	纖長,捲翹,濃密,溫水可卸,	https://pic.pimg.tw/styleme/1471835272-3730294977.jpg
214		黑天鵝羽扇睫毛膏（防暈版）	Grandioese Smudgeproof	睫毛膏,	纖長,濃密,	https://pic.pimg.tw/styleme/1471861887-2202167309.png
217	RMK	W雙色睫毛膏		睫毛膏,	顯色,	https://pic.pimg.tw/styleme/1471835384-2865029610.jpg
220	Dior_迪奧	癮誘水感唇膏	Dior Addict Fluid Stick	唇彩唇蜜,	光澤,薄透,	https://pic.pimg.tw/styleme/1471834124-274741822.jpg
223	SHISEIDO_資生堂	心機星魅唇膏	Maquillage Dramatic Melting Rouge	唇膏,	保濕,光澤,薄透,	https://pic.pimg.tw/styleme/1471835761-3338588553.jpg
229	M.A.C	親吻潤唇膏	Huggable Lipcolour 	唇膏,	保濕,光澤,	https://pic.pimg.tw/styleme/1443059031-735935503.jpg
232	YSL_聖羅蘭	情挑誘光水唇膏	Rouge Volupte Shine	唇膏,	保濕,光澤,顯色,	https://pic.pimg.tw/styleme/1471835688-3259574498.jpg
235	LANEIGE_蘭芝	超放電絲絨雙色唇膏	Two Tone Lip Bar	唇膏,	顯色,	https://pic.pimg.tw/styleme/1471845405-3496427512.png
238	Whoo_后	拱辰享淨白活妍氧氣霜	Whitening & Moisture Cream	乳霜,	保濕,滋潤,修護,美白,透亮,	https://pic.pimg.tw/styleme/1456823455-2224364329.jpg
241	ERNO_LASZLO_奧倫納素	白玉無瑕肌透光白皂	White Marble Treatment Bar	洗顏產品,	清潔,美白,	https://pic.pimg.tw/styleme/1440559042-3364041827.jpg
247	BIOTHERM_碧兒泉	肌底保濕晶萃凝凍	Aqusource Gel	凝膠凝凍,	保濕,	https://pic.pimg.tw/styleme/1471838915-1532332256.jpg
250	shu_uemura_植村秀	火山泥淨白潔顏油	Co Blanc Chroma 2014 P/B	卸妝產品,	清潔,	https://pic.pimg.tw/styleme/1466408314-369648014.jpg
256	YSL_聖羅蘭	恆久完美輕粉底	Le Teint Encre De Peau	粉底液,	保濕,潤色,遮瑕,薄透,	https://pic.pimg.tw/styleme/1443766759-2139903800.jpg
259		激光煥白粉餅 SPF35/PA+++	Blanc Expert Brightening Compact  Foundation	粉餅,	控油,美白,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443686867-1860893604.jpg
262	KRYOLAN_歌劇魅影	HD高解析蠶絲輕齡蜜粉	Micro Finsh Powder	蜜粉,	潤色,控油,美白,抗老,	https://pic.pimg.tw/styleme/1443693722-2771700135.jpg
265		愛戀糖采亮唇膏	Shine Lover	唇膏,	保濕,潤色,	https://pic.pimg.tw/styleme/1443686906-3746925151.jpg
268	YSL_聖羅蘭	情挑誘色美唇精萃		唇彩唇蜜,	保濕,潤色,光澤,滋潤,	https://pic.pimg.tw/styleme/1483888966-155921295.jpg
274	Clarins_克蘭詩	比基尼美體霜	Body Shaping Cream	勻體緊實產品,	滋潤,緊實,	https://pic.pimg.tw/styleme/1443713702-3354521867.jpg
283	ettusais_艾杜紗	護唇精華棒（蜂蜜極潤）	Lip Essence(Melty Bar)	唇部保養,	保濕,滋潤,改善細紋,	https://pic.pimg.tw/styleme/1443780615-2729673372.jpg
286	kiehl's_契爾氏	金盞花植物精華潔面泡泡凝露	Calendula Deep-Cleansing Foming Wash	洗顏產品,	清潔,舒緩,	https://pic.pimg.tw/styleme/1443788085-912977730.jpg
289	kiehl's_契爾氏	冰河醣蛋白無油清爽凝凍	Ultra Facial Oil-Free Gel Cream	凝膠凝凍,	保濕,	https://pic.pimg.tw/styleme/1443788069-2958640348.jpg
295	ERNO_LASZLO_奧倫納素	永恆之泉 淨白煥膚霜	Lumious Dual Phase Vitamin C Peel	乳霜,	保濕,透亮,	https://pic.pimg.tw/styleme/1443780379-1931078837.jpg
298	kiehl's_契爾氏	冰河保濕玻尿酸水凝霜		乳霜,	保濕,滋潤,	https://pic.pimg.tw/styleme/1443788054-2013018237.jpg
301	SOFINA_蘇菲娜	芯美顏 美白瀅潤日間防禦乳（清爽型）SPF50+/PA++++	Beaute' Whitening Day Protector SP	防曬隔離,	保濕,美白,防曬,	https://pic.pimg.tw/styleme/1443883918-2753110961.jpg
304		超輕盈柔白隔離乳 SPF50/PA++++升級版	UV Expert XL SHIELD SPF50/PA++++	防曬隔離,	美白,防曬,	https://pic.pimg.tw/styleme/1463474572-4001214041.png
307	GUERLAIN_嬌蘭	皇家蜂王乳平衡油	Abeille Rayole Face Treatment Oil	精華油,	保濕,滋潤,	https://pic.pimg.tw/styleme/1443695735-3143436361.jpg
310	kiehl's_契爾氏	超彈潤青春水精華	Hydro-Plumping Re-Texturizing Serum Concentrate	精華液,	保濕,緊實,	https://pic.pimg.tw/styleme/1443788038-3758524183.jpg
313	kiehl's_契爾氏	深夜奇肌修護精露	Midnight Recovery Concentrate	精華液,	保濕,滋潤,修護,	https://pic.pimg.tw/styleme/1443788022-1184731739.jpg
316	THE_BODY_SHOP_美體小舖	茶樹淨膚調理面膜	Tea Tree Skin Clearing Clay Mask	清潔面膜,	深層清潔,收斂毛孔,控油,抗痘,改善粉刺,舒緩,	https://pic.pimg.tw/styleme/1443859412-407535266.jpg
319		特潤超導眼部修護霜	Advanced Night Repair Eye	眼部保養,	保濕,滋潤,	https://pic.pimg.tw/styleme/1489144858-814779729.png
325	SOFINA_蘇菲娜	Primavista零油光妝前修飾乳升級版	Primavista Long Keep Base UV SPF20/PA++	妝前打底,	保濕,清爽,防曬,	https://pic.pimg.tw/styleme/1443883877-3090827778.png
328		超輕盈柔白BB霜SPF50/PA+++升級版	UV Expert BB Complete SPF50/PA++++	BB霜,	保濕,潤色,均勻膚色,防曬,	https://pic.pimg.tw/styleme/1443687052-1435937267.jpg
331	YSL_聖羅蘭	逆齡肌密綻白光感CC霜SPF35/PA+++	Forever Light Creator CC Cream SPF35/PA+++	CC霜,	潤色,均勻膚色,防曬,	https://pic.pimg.tw/styleme/1443766819-3072098259.png
334		絕對完美極緻再生粉底精粹	ABS FDT Fluide	粉底液,	潤色,抗老,均勻膚色,遮瑕,	https://pic.pimg.tw/styleme/1443687091-4109510694.jpg
337		水感奇蹟粉底液	Teint Miragle	粉底液,	保濕,均勻膚色,遮瑕,	https://pic.pimg.tw/styleme/1443687129-1684442263.jpg
340	shu_uemura_植村秀	鑽石光粉餅霜	The Lightbulb Oleo Pact	粉霜,	透亮,服貼,遮瑕,	https://pic.pimg.tw/styleme/1443773118-2797164200.jpg
346	Dior_迪奧	光柔恆色水潤精華粉餅 SPF25/PA++	Diorskin Forever Compact	粉餅,	保濕,均勻膚色,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443698167-3990032406.jpg
349	shu_uemura_植村秀	鑽石光粉餅SPF30/PA+++	The Lightbulb UV Compact	粉餅,	服貼,防曬,遮瑕,薄透,	https://pic.pimg.tw/styleme/1443773226-453709192.jpg
352	SHISEIDO_資生堂	夢思嬌眼線液741	Moisture Mist Liquid Eyeliner	眼線,	防水,抗暈染,	https://pic.pimg.tw/styleme/1443690951-226639171.jpg
355	YSL_聖羅蘭	情挑誘吻水唇蜜	Tint-In-Oil	唇彩唇蜜,	保濕,光澤,	https://pic.pimg.tw/styleme/1443767082-631520067.png
358	Dior_迪奧	癮誘豐漾俏唇蜜	Dior Addict Fluid Lip	唇彩唇蜜,		https://pic.pimg.tw/styleme/1486301374-248650183.jpg
361		愛戀誘吻亮唇釉	Lip Lover	唇彩唇蜜,	保濕,	https://pic.pimg.tw/styleme/1443687421-3536528741.jpg
364	Whoo_后	明義享全能精華乳	Myunguihyang All-in-one treatment	乳液,	保濕,滋潤,抗老,緊實,	https://pic.pimg.tw/styleme/1443692201-1124648443.jpg
367	Clarisonic_科萊麗	毛孔飛縮白泥面膜	Decongesting Clay Mask	清潔面膜,	清潔,去角質,深層清潔,收斂毛孔,	https://pic.pimg.tw/styleme/1443770404-2642014184.jpg
370	Melvita_蜜葳特	歐盟BIO摩洛哥堅果油	Argan Oil	精華油,	保濕,滋潤,抗老,修護,	https://pic.pimg.tw/styleme/1460824851-3735393558.png
373	BOBBI_BROWN_芭比布朗	快捷輕潤粉妝條	Skin Foundation Stick	粉霜,	保濕,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443761929-2110682749.jpg
376	YSL_聖羅蘭	逆齡肌密綻白光感粉餅SPF32/PA+++	Forever Light Creator Compact SPF32/PA++	粉餅,	美白,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443767104-1952839632.jpg
385	THREE	魅光修容	Cheeky Chic Blush	腮紅修容,	服貼,顯色,好上色,	https://pic.pimg.tw/styleme/1443781449-2776733665.jpg
394	Sulwhasoo_雪花秀	潤采光瑩美顏凝乳	Luminature Essential Finisher EX	乳液,	保濕,透亮,	https://pic.pimg.tw/styleme/1443690395-3530711027.jpg
397		水感奇蹟粉餅	Teint Miracle Natural Light Creator Bare Skin Perfection Compact Foundation	粉餅,	保濕,透亮,均勻膚色,薄透,	https://pic.pimg.tw/styleme/1443688535-2791245619.jpg
400	ettusais_艾杜紗	高機能保濕礦物BB水凝霜SPF25/PA+++	BB Mineral Gel	BB霜,	保濕,潤色,美白,防曬,	https://pic.pimg.tw/styleme/1443780602-2694738597.jpg
403	kiehl's_契爾氏	冰河保濕機能水	Ultra Facial Toner	化妝水,	保濕,滋潤,	https://pic.pimg.tw/styleme/1443788004-1875983138.jpg
406	kiehl's_契爾氏	1號護唇膏	Lip Balm #1	唇部保養,	保濕,滋潤,修護,	https://pic.pimg.tw/styleme/1443787989-4256017018.jpg
409	GIORGIO_ARMANI_亞曼尼	雪紡瞬白BB霜SPF50/PA+++	Luminessence Bright Revelator Universal Greige BB Fluid	BB霜,	潤色,光澤,透亮,防曬,	https://pic.pimg.tw/styleme/1443764987-1942617640.png
412	M.A.C	柔礦精華絲柔粉底液SPF15	Mineralize Moisture SPF15 Foundation	粉底液,	保濕,光澤,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443766075-2722209464.jpg
415	BOBBI_BROWN_芭比布朗	自然輕透粉底液SPF15 PA+	Skin Foundation SPF15 PA+	粉底液,	保濕,均勻膚色,防曬,薄透,	https://pic.pimg.tw/styleme/1443761992-1417393831.jpg
418	GIORGIO_ARMANI_亞曼尼	極緞絲柔粉底精華SPF15	Maestro Fusion Makeup SPF15	粉底液,	保濕,潤色,透亮,均勻膚色,防曬,	https://pic.pimg.tw/styleme/1443765020-1152159063.png
421	ERNO_LASZLO_奧倫納素	輕奢華 全能奇肌粉霜SPF15	Light Luxury-Absolute Foundation SPF15	粉霜,	保濕,抗老,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443844289-1410408745.jpg
424	KRYOLAN_歌劇魅影	輕采淨脂兩用粉餅	Dual Finsh	粉餅,	控油,服貼,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443693637-4186652103.jpg
427		超性感放電睫毛膏（防水版）	Grandioese Water Proof	睫毛膏,	防水,捲翹,	https://pic.pimg.tw/styleme/1472028157-770761458.jpg
430	SHISEIDO_資生堂	心機真型唇膏	Maquillage Dramatic True Rouge	唇膏,	保濕,	https://pic.pimg.tw/styleme/1443690990-2464065295.jpg
433	Crabtree_&_Evelyn_瑰珀翠	春回大地護手霜	Summer Hill Ultra-Moisturising Hand Therapy	手部保養,	保濕,滋潤,	https://pic.pimg.tw/styleme/1443716583-3222868423.jpg
436	MOROCCANOIL	摩洛哥優油	Moroccanoil Treatment	護髮品,	保濕,柔順,亮澤,	https://pic.pimg.tw/styleme/1443716538-3746116791.jpg
439	AVEDA_肯夢	復原配方強效護髮乳		護髮品,	修護,滋潤,	https://pic.pimg.tw/styleme/1443780215-2271839386.jpg
442	SHISEIDO_資生堂	時尚色繪尚質粉底刷	Perfect Foundation Bursh	彩妝工具,		https://pic.pimg.tw/styleme/1443691037-637951537.jpg
451			Chlo_	女性香氛,		https://pic.pimg.tw/styleme/1461125370-2965144138.png
454	SOFINA_蘇菲娜	彈力泡泡潔顏乳	Enriched Foam Cleanser	洗顏產品,	清潔,保濕,	https://pic.pimg.tw/styleme/1443883514-649053498.jpg
457	SHISEIDO_資生堂	美透白淨電力面膜	White LucentPower Brightening Mask	保養面膜,	保濕,美白,透亮,均勻膚色,淡斑,	https://pic.pimg.tw/styleme/1444874830-3893105394.jpg
460	M.A.C	美肌智慧粉底液SPF15	Machmaster SPF15 Foundation	粉底液,	保濕,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443766254-3098523361.jpg
463	M.A.C	BB輕粉霜SPF30/PA++	Beauty Balm Compact	BB霜,	控油,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443766270-4126838153.jpg
466	cle_de_peau_beaute_肌膚之鑰	柔光嫩白粉餅SPF25/PA++	Brightening Powder Foundation	粉餅,	美白,均勻膚色,防曬,薄透,	https://pic.pimg.tw/styleme/1443713572-2636877223.jpg
469	shu_uemura_植村秀	雙效持妝蜜粉餅	Dualfit Pressed Powder Beige	蜜粉,	薄透,	https://pic.pimg.tw/styleme/1443773312-3644305573.jpg
475	SHISEIDO_資生堂	360°全罩防晒露 SPF50+/PA++++	Perfect UV Protector	防曬隔離,	防曬,	https://pic.pimg.tw/styleme/1443691069-1176378802.jpg
478	Clarins_克蘭詩	紅魔束身體緊緻精華	Body Lift Cellulite Smoother	身體保養,	保濕,緊實,平滑膚觸,	https://pic.pimg.tw/styleme/1443713716-2516054201.jpg
481		鑽石立體超緊緻塑型霜	Resilience Lift Firming/Sculpting Face And Neck Creme	乳霜,	保濕,滋潤,抗老,修護,	https://pic.pimg.tw/styleme/1443777869-4095193122.jpg
487	shu_uemura_植村秀	3倍漆黑濃密防水睫毛膏	Tokyo Lash Mascara	睫毛膏,	抗暈染,捲翹,濃密,	https://pic.pimg.tw/styleme/1443773337-334275543.jpg
490	KOSE_高絲		Rouge Stay Magic(Essence Liquid)	唇彩唇蜜,	保濕,光澤,長效持妝,	https://pic.pimg.tw/styleme/1443717820-3144925172.jpg
493	Clarisonic_科萊麗	音波淨膚儀MIA2	MIA2 Facial Cleansing Brush	保養工具,		https://pic.pimg.tw/styleme/1443770417-3597265196.jpg
502	kanebo_佳麗寶	EX UV高效防曬凝乳（礦物柔膚型）SPF50+/PA++++	Allie UV Mineral Moist Neo	防曬隔離,	保濕,抗氧化,防曬,	https://pic.pimg.tw/styleme/1443714513-3743445392.jpg
508	kanebo_佳麗寶	輕透修飾凝乳	Lunasol Control Base	妝前打底,	保濕,潤色,透亮,	https://pic.pimg.tw/styleme/1443714467-3590034556.jpg
514	kanebo_佳麗寶	晶巧光燦眼盒（巧蕾）	Lunasol Skin Modeling Eyes （Chocolate）	眼影,	服貼,珠光,顯色,	https://pic.pimg.tw/styleme/1443714450-792480633.jpg
517	RMK	隔離霜	Make up Base	妝前打底,	保濕,潤色,服貼,	https://pic.pimg.tw/styleme/1443758609-2077051128.jpg
520	RMK	經典修容N	Ingenious Powder Cheeks N	腮紅修容,	服貼,顯色,	https://pic.pimg.tw/styleme/1443758652-2710262290.jpg
523	RMK	捲翹分明睫毛膏N	Separate Curl Mascara N	睫毛膏,	長效持妝,防水,捲翹,濃密,	https://pic.pimg.tw/styleme/1443760539-1287339107.jpg
526	RMK	層光眼采盒	Ingenious Cream & Powder Eyes	眼影,	服貼,	https://pic.pimg.tw/styleme/1443760561-2127566705.jpg
529	RMK	凝霜輕透光粉餅SPF38/PA+++	Casual Solid Foundation SPF38/PA+++	粉餅,	防曬,遮瑕,	https://pic.pimg.tw/styleme/1443760581-4022959831.jpg
532	RMK	亮采棒		粉條,	光澤,服貼,遮瑕,打亮,	https://pic.pimg.tw/styleme/1443760619-2370032754.jpg
535	CHIC_CHOC_奇可俏可	炫亮眼彩筆N		眼線,	顯色,防水,防油,	https://pic.pimg.tw/styleme/1443761021-2494575573.jpg
538	CHIC_CHOC_奇可俏可			BB霜,	保濕,防曬,遮瑕,	https://pic.pimg.tw/styleme/1443761001-3764523429.jpg
541	CHIC_CHOC_奇可俏可	花舞頰彩	Fiore Cheek	腮紅修容,	服貼,顯色,	https://pic.pimg.tw/styleme/1443760962-4217514838.jpg
544	THREE	平衡潔膚油	Blancing Cleansing Oil	卸妝產品,	卸妝,保濕,	https://pic.pimg.tw/styleme/1443781436-1202840115.jpg
547	THREE	凝光水粉霜 SPF36/PA+++	Flawless Fluid Foundation	粉底液,	保濕,服貼,防曬,遮瑕,	https://pic.pimg.tw/styleme/1444033711-1621075611.jpg
550	THREE	平衡水凝乳	Balancing Emulsion	乳液,	保濕,平滑膚觸,	https://pic.pimg.tw/styleme/1443781409-1175468910.jpg
553	THREE	凝光乳霜（光采） SPF32/PA+++	Ultimate Protective Pristine Primer (Glow) SPF32/PA+++	妝前打底,	保濕,潤色,遮瑕,	https://pic.pimg.tw/styleme/1444033731-88611626.jpg
