no	brand	chinese_name	english_name	item	effect	image
8530	diptyque	滋養柔潤唇霜		唇部保養,	滋潤,	https://pic.pimg.tw/styleme/1471509735-2585265107.jpg
8533	diptyque	煥采精華霜		乳霜,	滋潤,抗老,透亮,香氛,	https://pic.pimg.tw/styleme/1471510347-2568382879.jpg
8536	GARNIER_卡尼爾	專業美白超淨化洗面乳		洗顏產品,	清潔,美白,	https://pic.pimg.tw/styleme/1471510761-239230440.png
8539	GARNIER_卡尼爾	櫻花透白洗顏慕斯		洗顏產品,	清潔,滋潤,美白,	https://pic.pimg.tw/styleme/1471511113-3531290924.png
8542	BeautyMaker	零油光吸油蜜粉餅		蜜粉,	控油,	https://pic.pimg.tw/styleme/1471511611-3334273802.jpg
8545	SAUGELLA_賽吉兒	菁萃潔浴凝露(日用型）		私密處護理,	深層清潔,舒緩,	https://pic.pimg.tw/styleme/1471515007-2637036435.png
8548	SAUGELLA_賽吉兒	菁萃潔浴凝露(加強型)		身體清潔,	深層清潔,清爽,	https://pic.pimg.tw/styleme/1471515501-3651341225.jpg
8551	SAUGELLA_賽吉兒	菁萃潔浴慕斯(加強型）		私密處護理,	深層清潔,	https://pic.pimg.tw/styleme/1471516122-3614240359.png
8554	SAUGELLA_賽吉兒	高效修護保濕凝膠(加強型)		私密處護理,	深層清潔,清爽,	https://pic.pimg.tw/styleme/1471516576-3028782039.png
8557	SAUGELLA_賽吉兒	菁萃婦潔凝露		私密處護理,	深層清潔,	https://pic.pimg.tw/styleme/1471516869-3152613449.jpg
8560	SAUGELLA_賽吉兒	菁萃柔嫩乳霜		私密處護理,	滋潤,	https://pic.pimg.tw/styleme/1471517127-2014222193.png
8563	SAUGELLA_賽吉兒	男性專用沐浴拿鐵		身體清潔,	深層清潔,	https://pic.pimg.tw/styleme/1471572582-1898238462.png
8566	SAUGELLA_賽吉兒	潔浴凝露(少女型)		私密處護理,	深層清潔,	https://pic.pimg.tw/styleme/1471572912-910657753.jpg
8569	SAUGELLA_賽吉兒	高效修護保濕凝膠(日用型)		私密處護理,	保濕,清爽,	https://pic.pimg.tw/styleme/1471573509-3127076078.png
8572	NEOGENCE_霓淨思	再生修護肌能水		化妝水,	保濕,修護,	https://pic.pimg.tw/styleme/1471576149-2004224722.jpg
8575	NEOGENCE_霓淨思	全能抗皺彈力膠囊精華		精華液,	抗皺,	https://pic.pimg.tw/styleme/1471577590-1406710831.jpg
8584	Les_Merveilleuses_LADUREE	古典蕾織蜜粉N		蜜粉,	修飾毛孔,光澤,長效持妝,	https://pic.pimg.tw/styleme/1472538652-3820923401.jpg
8587	Les_Merveilleuses_LADUREE	糖霜蜜粉餅N		粉餅,	霧面,長效持妝,服貼,珠光,	https://pic.pimg.tw/styleme/1472539700-1280448819.jpg
8590	PAUL_&_JOE	玩色眉液筆		眉彩,	服貼,防水,抗暈染,	https://pic.pimg.tw/styleme/1472540883-2999498051.png
